S.No,Username,Password,Full Name,Role,Assigned Warehouse,Email
1,admin1,Admin@123,System Admin,Administrator,N/A (General),admin1@ramrajcotton.com
2,admin_login,Admin@123,System Admin,Administrator,N/A (General),admin@complaint.com
3,wh_tirupur,User@123,Tirupur Manager,Warehouse Manager,Tirupur Warehouse,wh_tirupur@ramrajcotton.com
4,wh_salem,User@123,Salem Manager,Warehouse Manager,Salem Warehouse,wh_salem@ramrajcotton.com
5,wt_raja,User@123,Raja K.,Warehouse Team,Tirupur Warehouse,wt_raja@ramrajcotton.com
6,wt_sakthi,User@123,Sakthi V.,Warehouse Team,Salem Warehouse,wt_sakthi@ramrajcotton.com
7,arun_sales,User@123,Arun M.,Sales Executive,N/A (General),arun.sales@ramrajcotton.com
8,sales_exec_2,User@123,Karthik S.,Sales Executive,N/A (General),karthik.sales@ramrajcotton.com
9,sales_exec_3,User@123,Suresh R.,Sales Executive,N/A (General),suresh.sales@ramrajcotton.com
10,sales_exec_4,User@123,Deepak K.,Sales Executive,N/A (General),deepak.sales@ramrajcotton.com
11,sales_exec_5,User@123,Venkatesh P.,Sales Executive,N/A (General),venkatesh.sales@ramrajcotton.com
12,wh_erode,User@123,Erode Manager,Warehouse Manager,Erode Warehouse,wh_erode@ramrajcotton.com
13,wh_cbe,User@123,Coimbatore Manager,Warehouse Manager,Coimbatore Warehouse,wh_cbe@ramrajcotton.com
14,wh_chennai,User@123,Chennai Manager,Warehouse Manager,Chennai Warehouse,wh_chennai@ramrajcotton.com
15,wt_tirupur_2,User@123,Senthil M.,Warehouse Team,Tirupur Warehouse,senthil.wh1@ramrajcotton.com
16,wt_tirupur_3,User@123,Prakash R.,Warehouse Team,Tirupur Warehouse,prakash.wh1@ramrajcotton.com
17,wt_tirupur_4,User@123,Gokul S.,Warehouse Team,Tirupur Warehouse,gokul.wh1@ramrajcotton.com
18,wt_tirupur_5,User@123,Anand B.,Warehouse Team,Tirupur Warehouse,anand.wh1@ramrajcotton.com
19,wt_salem_2,User@123,Priya N.,Warehouse Team,Salem Warehouse,priya.wh2@ramrajcotton.com
20,wt_salem_3,User@123,Gayathri M.,Warehouse Team,Salem Warehouse,gayathri.wh2@ramrajcotton.com
21,wt_salem_4,User@123,Meera R.,Warehouse Team,Salem Warehouse,meera.wh2@ramrajcotton.com
22,wt_salem_5,User@123,Dinesh K.,Warehouse Team,Salem Warehouse,dinesh.wh2@ramrajcotton.com
23,wt_erode_1,User@123,Kumar P.,Warehouse Team,Erode Warehouse,kumar.wh3@ramrajcotton.com
24,wt_erode_2,User@123,Murugan T.,Warehouse Team,Erode Warehouse,murugan.wh3@ramrajcotton.com
25,wt_erode_3,User@123,Saravanan A.,Warehouse Team,Erode Warehouse,saravanan.wh3@ramrajcotton.com
26,wt_erode_4,User@123,Kavitha S.,Warehouse Team,Erode Warehouse,kavitha.wh3@ramrajcotton.com
27,wt_erode_5,User@123,Balaji N.,Warehouse Team,Erode Warehouse,balaji.wh3@ramrajcotton.com
28,wt_cbe_1,User@123,Ramesh B.,Warehouse Team,Coimbatore Warehouse,ramesh.wh4@ramrajcotton.com
29,wt_cbe_2,User@123,Divya K.,Warehouse Team,Coimbatore Warehouse,divya.wh4@ramrajcotton.com
30,wt_cbe_3,User@123,Manikandan P.,Warehouse Team,Coimbatore Warehouse,manikandan.wh4@ramrajcotton.com
31,wt_cbe_4,User@123,Revathi G.,Warehouse Team,Coimbatore Warehouse,revathi.wh4@ramrajcotton.com
32,wt_cbe_5,User@123,Sanjay M.,Warehouse Team,Coimbatore Warehouse,sanjay.wh4@ramrajcotton.com
33,wt_chennai_1,User@123,Vijay R.,Warehouse Team,Chennai Warehouse,vijay.wh5@ramrajcotton.com
34,wt_chennai_2,User@123,Naveen K.,Warehouse Team,Chennai Warehouse,naveen.wh5@ramrajcotton.com
35,wt_chennai_3,User@123,Swetha P.,Warehouse Team,Chennai Warehouse,swetha.wh5@ramrajcotton.com
36,wt_chennai_4,User@123,Aravind S.,Warehouse Team,Chennai Warehouse,aravind.wh5@ramrajcotton.com
37,wt_chennai_5,User@123,Harish T.,Warehouse Team,Chennai Warehouse,harish.wh5@ramrajcotton.com
